SurfaceDensity  e   sigma_e s0  sigma_s0    sp  sigma_sp
-0.05   0.000      0.000      0.460      0.148      0.540      0.148
0.15    0.110      0.039      0.289      0.053      0.601      0.059
0.35    0.090      0.021      0.320      0.032      0.589      0.034
0.55    0.119      0.016      0.346      0.023      0.535      0.025
0.75    0.133      0.014      0.348      0.020      0.519      0.021
0.95    0.177      0.014      0.391      0.018      0.432      0.019
1.15    0.182      0.014      0.425      0.018      0.392      0.018
1.35    0.196      0.015      0.443      0.019      0.361      0.018
1.55    0.225      0.018      0.473      0.021      0.302      0.020
1.75    0.287      0.024      0.454      0.026      0.259      0.023
1.95    0.376      0.033      0.448      0.034      0.176      0.026
2.15    0.398      0.050      0.521      0.051      0.081      0.028
2.35    0.360      0.096      0.561      0.100      0.079      0.055
2.55    0.500      0.134      0.429      0.132      0.071      0.069
