name,RA,DEC,final,flags
cutout0.fits,154.6747894287109,-12.29895973205566,Sc,
cutout10.fits,163.7105560302734,-12.95232963562012,C,
cutout100.fits,164.8133850097656,-12.93187046051025,E,
cutout101.fits,164.8156127929688,-12.9419002532959,C,DISTURBED
cutout102.fits,164.8226928710938,-12.95907020568848,E,
cutout103.fits,164.8291625976562,-12.94416046142578,Sb,
cutout104.fits,164.7759857177734,-12.93634033203125,E,
cutout105.fits,164.7771759033203,-12.95925998687744,E,
cutout106.fits,164.7798156738281,-12.93278980255127,E,
cutout107.fits,164.7850494384766,-12.93179035186768,Sa,
cutout108.fits,164.7905120849609,-12.94766044616699,Sa,
cutout109.fits,164.7923431396484,-12.97729015350342,U,DEFECT
cutout11.fits,163.7178955078125,-12.95330047607422,U,LSB
cutout110.fits,164.7927856445312,-12.91823959350586,Sa,DEFECT
cutout111.fits,164.8007965087891,-12.93332958221436,Sa,
cutout112.fits,164.8026275634766,-12.95384979248047,Sc,
cutout113.fits,164.803466796875,-12.9534797668457,Sb,
cutout114.fits,164.8040924072266,-12.94616985321045,E,
cutout115.fits,164.8041534423828,-12.94915962219238,E,
cutout116.fits,164.8082275390625,-12.93912029266357,S0,
cutout117.fits,164.8088073730469,-12.98001003265381,Irr,
cutout12.fits,164.8329162597656,-13.03699970245361,Sd,
cutout122.fits,164.878173828125,-12.85249996185303,S0,EDGEON
cutout123.fits,164.8853149414062,-12.89144039154053,U,DEFECT|EDGEON
cutout124.fits,164.8903198242188,-12.84998989105225,Sa,
cutout125.fits,164.8936462402344,-12.87777996063232,Sa,
cutout126.fits,164.9063415527344,-12.85575008392334,Sm,
cutout13.fits,164.8406066894531,-13.03122043609619,S0,
cutout132.fits,174.4398651123047,-11.48023986816406,E,
cutout134.fits,174.4550628662109,-11.48260974884033,S0,
cutout135.fits,174.4701232910156,-11.50374031066895,Sa,
cutout136.fits,174.4714965820312,-11.47990036010742,S0,
cutout142.fits,174.3647766113281,-11.44954967498779,Irr,DISTURBED|LSB
cutout143.fits,174.3996429443359,-11.42716979980469,Sb,
cutout144.fits,174.4011993408203,-11.40841007232666,Sd,
cutout145.fits,174.4049835205078,-11.41259002685547,E,
cutout150.fits,184.1883850097656,-12.16755962371826,Sc,
cutout151.fits,184.1898956298828,-12.16100978851318,S0,
cutout152.fits,184.2050323486328,-12.13936042785645,E,SMALL
cutout153.fits,184.2314147949219,-12.14132976531982,E,
cutout158.fits,184.2944793701172,-12.14842987060547,E,
cutout159.fits,184.330078125,-12.12119007110596,E,SMALL|LSB
cutout16.fits,164.9220581054688,-12.97323989868164,C,
cutout160.fits,184.3346862792969,-12.12782001495361,S0,
cutout164.fits,188.2000427246094,-12.91860008239746,Sc,
cutout165.fits,188.2021331787109,-12.91975975036621,Sa,
cutout166.fits,188.2138061523438,-12.9338903427124,S0,
cutout167.fits,188.2191467285156,-12.91816997528076,Sc,
cutout168.fits,188.219970703125,-12.89408016204834,U,EDGEON
cutout169.fits,188.2282867431641,-12.92800998687744,Sc,EDGEON
cutout170.fits,188.2415161132812,-12.91094970703125,Sa,
cutout171.fits,188.2427368164062,-12.91016960144043,E,SMALL
